timestamp,home_country,source_currency,dest_currency,channel,amount_src,amount_usd,fee,new_device,ip_country,location_mismatch,ip_risk_score,kyc_tier,account_age_days,device_trust_score,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,is_fraud,hour,day_of_week,is_weekend,late_night_hours,amount_high,high_ip_risk,low_device_trust,new_account,very_new_account,velocity_spike
2022-10-03 18:40:59.468549+00:00,US,USD,CAD,Atm,278.19,278.19,4.25,False,US,False,0.123,standard,263,0.522,0.223,0,0,0.0,0,18,0,0,0,0,0,0,0,0,0
2022-10-03 20:39:38.468549+00:00,CA,CAD,MXN,Web,208.51,154.29,4.24,True,CA,False,0.569,standard,947,0.475,0.268,0,1,0.0,0,20,0,0,0,0,0,1,0,0,0
2022-10-03 23:02:43.468549+00:00,US,USD,CNY,Mobile,160.33,160.33,2.7,False,US,False,0.437,enhanced,367,0.939,0.176,0,0,0.0,0,23,0,0,0,0,0,0,0,0,0
2022-10-04 01:08:53.468549+00:00,US,USD,EUR,Mobile,59.41,59.41,2.22,False,US,False,0.594,standard,147,0.551,0.391,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0
2022-10-04 09:35:03.468549+00:00,US,USD,INR,Mobile,200.96,200.96,3.61,False,US,False,0.121,enhanced,257,0.894,0.257,0,0,0.0,0,9,1,0,0,0,0,0,0,0,0
2022-10-04 12:09:59.468549+00:00,US,USD,GBP,Mobile,526.9,526.9,8.75,False,US,False,0.094,low,616,0.702,0.361,0,0,0.0,0,12,1,0,0,1,0,0,0,0,0
2022-10-04 12:37:41.468549+00:00,CA,CAD,GBP,Mobile,149.24,110.44,2.33,False,CA,False,0.299,standard,947,0.625,0.268,0,0,0.0,0,12,1,0,0,0,0,0,0,0,0
2022-10-04 16:27:44.468549+00:00,CA,CAD,INR,Web,276.51,204.62,5.59,False,CA,False,0.087,standard,1041,0.867,0.245,0,1,0.12,0,16,1,0,0,0,0,0,0,0,0
2022-10-04 21:00:36.468549+00:00,US,USD,EUR,Mobile,99.52,99.52,2.41,False,US,False,0.182,enhanced,367,0.939,0.176,0,0,0.0,0,21,1,0,0,0,0,0,0,0,0
2022-10-04 21:20:42.468549+00:00,US,USD,PHP,Web,302.55,302.55,5.26,False,US,False,0.413,standard,1016,0.944,0.247,0,0,0.1,1,21,1,0,0,0,0,0,0,0,0
2022-10-04 22:18:42.468549+00:00,US,USD,NGN,Mobile,187.84,187.84,3.14,False,US,False,0.318,enhanced,257,0.894,0.257,0,0,0.25,0,22,1,0,0,0,0,0,0,0,0
2022-10-04 22:54:28.468549+00:00,US,USD,USD,Mobile,9998.43,9998.43,151.63,False,US,False,0.254,standard,1018,0.934,0.087,0,0,0.0,0,22,1,0,0,1,0,0,0,0,0
2022-10-05 00:57:43.468549+00:00,US,USD,CNY,Web,171.86,171.86,2.96,False,US,False,0.109,standard,298,0.336,0.166,0,0,0.0,0,0,2,0,0,0,0,1,0,0,0
